Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
20,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
20,	20,	1,	0.010000,	PASSED,	0.000000,	0.461000
20,	30,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	40,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	50,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	60,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	70,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	80,	1,	0.010000,	PASSED,	0.000000,	0.405000
20,	90,	1,	0.010000,	PASSED,	0.000000,	0.405000
20,	100,	1,	0.010000,	PASSED,	0.000000,	0.404000
20,	200,	1,	0.010000,	PASSED,	0.000000,	0.407000
20,	300,	1,	0.010000,	PASSED,	0.000000,	0.608000
20,	400,	1,	0.010000,	PASSED,	0.000000,	0.403000
20,	500,	1,	0.010000,	PASSED,	0.000000,	0.411000
20,	600,	1,	0.010000,	PASSED,	0.000000,	0.418000
20,	700,	1,	0.010000,	PASSED,	0.000000,	0.424000
20,	800,	1,	0.010000,	PASSED,	0.000000,	0.428000
20,	900,	1,	0.010000,	PASSED,	0.000000,	0.440000
20,	1000,	1,	0.010000,	PASSED,	0.000000,	0.446000
20,	2000,	1,	0.010000,	PASSED,	0.000000,	0.594000
20,	3000,	1,	0.010000,	PASSED,	0.000000,	0.834000
20,	4000,	1,	0.010000,	PASSED,	0.000000,	1.185000
20,	5000,	1,	0.010000,	PASSED,	0.000000,	1.637000
20,	6000,	1,	0.010000,	PASSED,	0.000000,	2.254000
20,	7000,	1,	0.010000,	PASSED,	0.000000,	2.995000
20,	8000,	1,	0.010000,	PASSED,	0.000000,	3.778000
20,	9000,	1,	0.010000,	PASSED,	0.000000,	4.676000
20,	10000,	1,	0.010000,	PASSED,	0.000000,	5.733000
