Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
40,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
40,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
40,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
40,	40,	1,	0.010000,	PASSED,	0.000000,	0.203000
40,	50,	1,	0.010000,	PASSED,	0.000000,	0.171000
40,	60,	1,	0.010000,	PASSED,	0.000000,	0.170000
40,	70,	1,	0.010000,	PASSED,	0.000000,	0.170000
40,	80,	1,	0.010000,	PASSED,	0.000000,	0.168000
40,	90,	1,	0.010000,	PASSED,	0.000000,	0.168000
40,	100,	1,	0.010000,	PASSED,	0.000000,	0.168000
40,	200,	1,	0.010000,	PASSED,	0.000000,	0.176000
40,	300,	1,	0.010000,	PASSED,	0.000000,	0.175000
40,	400,	1,	0.010000,	PASSED,	0.000000,	0.180000
40,	500,	1,	0.010000,	PASSED,	0.000000,	0.183000
40,	600,	1,	0.010000,	PASSED,	0.000000,	0.186000
40,	700,	1,	0.010000,	PASSED,	0.000000,	0.191000
40,	800,	1,	0.010000,	PASSED,	0.000000,	0.330000
40,	900,	1,	0.010000,	PASSED,	0.000000,	0.203000
40,	1000,	1,	0.010000,	PASSED,	0.000000,	0.215000
40,	2000,	1,	0.010000,	PASSED,	0.000000,	0.318000
40,	3000,	1,	0.010000,	PASSED,	0.000000,	0.508000
40,	4000,	1,	0.010000,	PASSED,	0.000000,	0.816000
40,	5000,	1,	0.010000,	PASSED,	0.000000,	1.231000
40,	6000,	1,	0.010000,	PASSED,	0.000000,	1.696000
40,	7000,	1,	0.010000,	PASSED,	0.000000,	2.265000
40,	8000,	1,	0.010000,	PASSED,	0.000000,	2.928000
40,	9000,	1,	0.010000,	PASSED,	0.000000,	3.687000
40,	10000,	1,	0.010000,	PASSED,	0.000000,	4.529000
