Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
140,	1000,	1,	0.900000,	PASSED,	0.000000,	0.194000
140,	1000,	1,	0.800000,	PASSED,	0.000000,	0.195000
140,	1000,	1,	0.700000,	PASSED,	0.000000,	0.192000
140,	1000,	1,	0.600000,	PASSED,	0.000000,	0.190000
140,	1000,	1,	0.500000,	PASSED,	0.000000,	0.193000
140,	1000,	1,	0.400000,	PASSED,	0.000000,	0.192000
140,	1000,	1,	0.300000,	PASSED,	0.000000,	0.192000
140,	1000,	1,	0.200000,	PASSED,	0.000000,	0.192000
140,	1000,	1,	0.100000,	PASSED,	0.000000,	0.194000
140,	1000,	1,	0.090000,	PASSED,	0.000000,	0.194000
140,	1000,	1,	0.080000,	PASSED,	0.000000,	0.194000
140,	1000,	1,	0.070000,	PASSED,	0.000000,	0.195000
140,	1000,	1,	0.060000,	PASSED,	0.000000,	0.196000
140,	1000,	1,	0.050000,	PASSED,	0.000000,	0.200000
140,	1000,	1,	0.040000,	PASSED,	0.000000,	0.202000
140,	1000,	1,	0.030000,	PASSED,	0.000000,	0.203000
140,	1000,	1,	0.020000,	PASSED,	0.000000,	0.205000
140,	1000,	1,	0.010000,	PASSED,	0.000000,	0.221000
140,	1000,	1,	0.009000,	PASSED,	0.000000,	0.223000
140,	1000,	1,	0.008000,	PASSED,	0.000000,	0.229000
140,	1000,	1,	0.007000,	PASSED,	0.000000,	0.232000
140,	1000,	1,	0.006000,	PASSED,	0.000000,	0.244000
140,	1000,	1,	0.005000,	PASSED,	0.000000,	0.248000
140,	1000,	1,	0.004000,	PASSED,	0.000000,	0.262000
140,	1000,	1,	0.003000,	PASSED,	0.000000,	0.278000
140,	1000,	1,	0.002000,	PASSED,	0.000000,	0.314000
140,	1000,	1,	0.001000,	PASSED,	0.000000,	0.423000
140,	1000,	1,	0.000900,	PASSED,	0.000000,	0.448000
140,	1000,	1,	0.000800,	PASSED,	0.000000,	0.477000
140,	1000,	1,	0.000700,	PASSED,	0.000000,	0.511000
140,	1000,	1,	0.000600,	PASSED,	0.000000,	0.570000
140,	1000,	1,	0.000500,	PASSED,	0.000000,	0.642000
140,	1000,	1,	0.000400,	PASSED,	0.000000,	0.749000
140,	1000,	1,	0.000300,	PASSED,	0.000000,	0.924000
140,	1000,	1,	0.000200,	PASSED,	0.000000,	1.276000
140,	1000,	1,	0.000100,	PASSED,	0.000000,	2.324000
140,	1000,	1,	0.000090,	PASSED,	0.000000,	2.556000
140,	1000,	1,	0.000080,	PASSED,	0.000000,	2.853000
140,	1000,	1,	0.000070,	PASSED,	0.000000,	3.229000
140,	1000,	1,	0.000060,	PASSED,	0.000000,	3.725000
140,	1000,	1,	0.000050,	PASSED,	0.000000,	4.432000
140,	1000,	1,	0.000040,	PASSED,	0.000000,	5.475000
140,	1000,	1,	0.000030,	PASSED,	0.000000,	7.227000
140,	1000,	1,	0.000020,	PASSED,	0.000000,	10.720000
140,	1000,	1,	0.000010,	PASSED,	0.000000,	21.193000
