Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
80,	1000,	1,	0.900000,	PASSED,	0.000000,	0.148000
80,	1000,	1,	0.800000,	PASSED,	0.000000,	0.139000
80,	1000,	1,	0.700000,	PASSED,	0.000000,	0.142000
80,	1000,	1,	0.600000,	PASSED,	0.000000,	0.139000
80,	1000,	1,	0.500000,	PASSED,	0.000000,	0.141000
80,	1000,	1,	0.400000,	PASSED,	0.000000,	0.139000
80,	1000,	1,	0.300000,	PASSED,	0.000000,	0.142000
80,	1000,	1,	0.200000,	PASSED,	0.000000,	0.141000
80,	1000,	1,	0.100000,	PASSED,	0.000000,	0.142000
80,	1000,	1,	0.090000,	PASSED,	0.000000,	0.140000
80,	1000,	1,	0.080000,	PASSED,	0.000000,	0.144000
80,	1000,	1,	0.070000,	PASSED,	0.000000,	0.148000
80,	1000,	1,	0.060000,	PASSED,	0.000000,	0.144000
80,	1000,	1,	0.050000,	PASSED,	0.000000,	0.154000
80,	1000,	1,	0.040000,	PASSED,	0.000000,	0.160000
80,	1000,	1,	0.030000,	PASSED,	0.000000,	0.160000
80,	1000,	1,	0.020000,	PASSED,	0.000000,	0.163000
80,	1000,	1,	0.010000,	PASSED,	0.000000,	0.173000
80,	1000,	1,	0.009000,	PASSED,	0.000000,	0.168000
80,	1000,	1,	0.008000,	PASSED,	0.000000,	0.171000
80,	1000,	1,	0.007000,	PASSED,	0.000000,	0.179000
80,	1000,	1,	0.006000,	PASSED,	0.000000,	0.178000
80,	1000,	1,	0.005000,	PASSED,	0.000000,	0.184000
80,	1000,	1,	0.004000,	PASSED,	0.000000,	0.193000
80,	1000,	1,	0.003000,	PASSED,	0.000000,	0.207000
80,	1000,	1,	0.002000,	PASSED,	0.000000,	0.234000
80,	1000,	1,	0.001000,	PASSED,	0.000000,	0.313000
80,	1000,	1,	0.000900,	PASSED,	0.000000,	0.329000
80,	1000,	1,	0.000800,	PASSED,	0.000000,	0.352000
80,	1000,	1,	0.000700,	PASSED,	0.000000,	0.382000
80,	1000,	1,	0.000600,	PASSED,	0.000000,	0.418000
80,	1000,	1,	0.000500,	PASSED,	0.000000,	0.478000
80,	1000,	1,	0.000400,	PASSED,	0.000000,	0.580000
80,	1000,	1,	0.000300,	PASSED,	0.000000,	0.727000
80,	1000,	1,	0.000200,	PASSED,	0.000000,	1.002000
80,	1000,	1,	0.000100,	PASSED,	0.000000,	1.794000
80,	1000,	1,	0.000090,	PASSED,	0.000000,	1.972000
80,	1000,	1,	0.000080,	PASSED,	0.000000,	2.192000
80,	1000,	1,	0.000070,	PASSED,	0.000000,	2.480000
80,	1000,	1,	0.000060,	PASSED,	0.000000,	2.855000
80,	1000,	1,	0.000050,	PASSED,	0.000000,	3.382000
80,	1000,	1,	0.000040,	PASSED,	0.000000,	4.183000
80,	1000,	1,	0.000030,	PASSED,	0.000000,	5.501000
80,	1000,	1,	0.000020,	PASSED,	0.000000,	8.159000
80,	1000,	1,	0.000010,	PASSED,	0.000000,	16.084000
