Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
1,	10,	0,	0.010000,	PASSED,	0.000000,	0.000000
1,	20,	0,	0.010000,	PASSED,	0.000000,	0.000000
1,	30,	0,	0.010000,	PASSED,	0.000000,	0.005000
1,	40,	0,	0.010000,	PASSED,	0.000000,	0.010000
1,	50,	0,	0.010000,	PASSED,	0.000000,	0.055000
1,	60,	0,	0.010000,	PASSED,	0.000000,	0.050000
1,	70,	0,	0.010000,	PASSED,	0.000000,	0.090000
1,	80,	0,	0.010000,	PASSED,	0.000000,	0.235000
1,	90,	0,	0.010000,	PASSED,	0.000000,	0.335000
1,	100,	0,	0.010000,	PASSED,	0.000000,	0.455000
1,	200,	0,	0.010000,	PASSED,	0.000000,	7.535000
1,	300,	0,	0.010000,	PASSED,	0.000000,	23.675000
1,	400,	0,	0.010000,	PASSED,	0.000000,	67.310000
1,	500,	0,	0.010000,	PASSED,	0.000000,	278.650000
