Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
80,	1000,	0,	0.900000,	PASSED,	0.000000,	0.184000
80,	1000,	0,	0.800000,	PASSED,	0.000000,	0.187000
80,	1000,	0,	0.700000,	PASSED,	0.000000,	0.224000
80,	1000,	0,	0.600000,	PASSED,	0.000000,	0.239000
80,	1000,	0,	0.500000,	PASSED,	0.000000,	0.278000
80,	1000,	0,	0.400000,	PASSED,	0.000000,	0.325000
80,	1000,	0,	0.300000,	PASSED,	0.000000,	0.445000
80,	1000,	0,	0.200000,	PASSED,	0.000000,	0.863000
80,	1000,	0,	0.100000,	PASSED,	0.000000,	2.340000
80,	1000,	0,	0.090000,	PASSED,	0.000000,	2.539000
80,	1000,	0,	0.080000,	PASSED,	0.000000,	3.664000
80,	1000,	0,	0.070000,	PASSED,	0.000000,	4.186000
80,	1000,	0,	0.060000,	PASSED,	0.000000,	5.265000
80,	1000,	0,	0.050000,	PASSED,	0.000000,	6.552000
80,	1000,	0,	0.040000,	PASSED,	0.000000,	9.132000
80,	1000,	0,	0.030000,	PASSED,	0.000000,	11.633000
80,	1000,	0,	0.020000,	PASSED,	0.000000,	22.681000
